Country Name,Country Code,Series Name,Series Code,2019 [YR2019],2020 [YR2020],2021 [YR2021]
Croatia,HRV,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,51791357756.9752,47876177437.524,56452688748.266
Cyprus,CYP,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,21532497305.0165,20059802171.2203,22227522576.099
Czechia,CZE,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,186455233903.003,180197235303.564,208474258824.519
Denmark,DNK,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,296347201607.05,304644390687.387,344354581495.784
Hungary,HUN,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,133395230789.824,125891866940.154,143700403603.212
Italy,ITA,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,1673081171844.52,1556452829567.84,1755164652452.27
Lithuania,LTU,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,45983380104.4889,47815760848.5395,55896758251.78
Malta,MLT,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,..,..,..
Netherlands,NLD,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,740741621497.968,720225069246.633,813878767423.321
Norway,NOR,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,324344668216.053,290221613788.504,378328312982.983
Portugal,PRT,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,191198763626.932,179900977275.456,200174696009.594
Spain,ESP,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,1184303868110.12,1057281180428.21,1191011399598.2
Sweden,SWE,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,458007910571.367,469238771521.351,539858010828.979
Turkiye,TUR,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,629381111739.29,600186412689.749,..
,,,,,,
,,,,,,
,,,,,,
Data from database: World Development Indicators,,,,,,
Last Updated: 02/21/2024,,,,,,
